"","data_1.sale_price","data_1.land_sq","data_1.zipcode","data_1.residential_units","data_1.commercial_units"
"236",2200000,0,10011,0,0
"237",1275000,0,10011,0,0
"238",355500,0,10011,0,0
"239",485000,0,10011,0,0
"240",645000,0,10011,0,0
"241",1460000,0,10011,0,0
"242",400000,0,10011,0,0
"243",600000,0,10011,0,0
"244",385000,0,10011,0,0
"245",585000,0,10011,0,0
"246",465000,0,10011,0,0
"247",465426,0,10011,0,0
"248",481743,0,10001,0,0
"249",1780000,0,10001,0,0
"250",420000,0,10001,0,0
"251",300000,0,10001,0,0
"252",650000,0,10011,0,0
"253",570000,0,10011,0,0
"254",659000,0,10011,0,0
"255",1340250,0,10011,0,0
"256",740000,0,10011,0,0
"257",1400000,0,10011,0,0
"258",570000,0,10011,0,0
"259",480000,0,10011,0,0
"260",965000,0,10011,0,0
"261",680000,0,10011,0,0
"262",613750,0,10011,0,0
"263",649000,0,10011,0,0
"264",740000,0,10011,0,0
"265",685000,0,10011,0,0
"266",935000,0,10011,0,0
"267",999000,0,10011,0,0
"268",820000,0,10011,0,0
"269",375000,0,10011,0,0
"270",630000,0,10011,0,0
"271",362500,0,10011,0,0
"272",735000,0,10011,0,0
"273",495000,0,10011,0,0
"274",610000,0,10011,0,0
"275",425000,0,10011,0,0
"276",318500,0,10011,0,0
"277",2370000,0,10011,0,0
"278",935000,0,10011,0,0
"279",515000,0,10011,0,0
"280",530000,0,10011,0,0
"281",325000,0,10011,0,0
"282",525000,0,10011,0,0
"283",475000,0,10011,0,0
"284",312500,0,10011,0,0
"285",440000,0,10011,0,0
"286",519000,0,10011,0,0
"287",705000,0,10011,0,0
"288",789000,0,10011,0,0
"289",750000,0,10011,0,0
"290",1380000,0,10011,0,0
"291",77988,0,10011,0,0
"292",1275000,0,10011,0,0
"293",1370000,0,10011,0,0
"294",1500315,0,10011,0,0
"295",86185,0,10011,0,0
"296",110728,0,10001,0,0
"297",55328,0,10001,0,0
"298",355000,0,10001,0,0
"299",74900,0,10001,0,0
"300",78038,0,10001,0,0
"301",43989,0,10001,0,0
"302",87978,0,10001,0,0
"303",55364,0,10001,0,0
"304",110728,0,10001,0,0
"305",100270,0,10001,0,0
"306",55706,0,10001,0,0
"307",55706,0,10001,0,0
"308",77988,0,10001,0,0
"309",88582,0,10001,0,0
"310",89129,0,10001,0,0
"311",87978,0,10001,0,0
"312",55340,0,10001,0,0
"313",110728,0,10001,0,0
"314",350000,0,10011,0,0
"315",625000,0,10011,0,0
"316",600000,0,10011,0,0
"317",635000,0,10011,0,0
"318",827000,0,10011,0,0
"319",929000,0,10011,0,0
"320",450000,0,10011,0,0
"321",370000,0,10011,0,0
"322",975000,0,10011,0,0
"323",1550000,0,10011,0,0
"324",373000,0,10011,0,0
"325",385000,0,10011,0,0
"326",427500,0,10011,0,0
"327",965000,0,10011,0,0
"328",457500,0,10011,0,0
"329",385000,0,10011,0,0
"330",1600000,0,10011,0,0
"331",450000,0,10011,0,0
"332",1830000,0,10011,0,0
"333",745000,0,10011,0,0
"334",2300000,0,10011,0,0
"335",4000000,0,10011,0,0
"336",400000,0,10011,0,0
"337",525000,0,10011,0,0
"338",445000,0,10011,0,0
"339",360000,0,10011,0,0
"340",805000,0,10011,0,0
"341",880000,0,10011,0,0
"342",950000,0,10011,0,0
